,Highest Ratio,Average Others,T-Statistic,P-Value,Label
230,0.4576271186440678,0.41007532956685494,-4.605203601134296,0.04405939035816047,Original
231,0.5084745762711864,0.40127118644067794,-2.4156666462852487,0.09453530050793599,Original
232,0.4666666666666667,0.3686440677966102,-3.612819691689752,0.036431155449573864,Original
233,0.5254237288135594,0.36299435028248583,-4.890297438969469,0.016355645150575224,Original
234,0.4406779661016949,0.3626412429378531,-2.3461567951496813,0.1006566092112587,Original
235,0.4915254237288136,0.41035781544256117,-3.6256912791125826,0.06836231728156876,Original
236,0.6779661016949152,0.413135593220339,-6.782402329135958,0.006551418920014316,Original
237,0.5932203389830508,0.40091807909604515,-7.503655577513371,0.004904092057273042,Original
238,0.423728813559322,0.3500706214689266,-4.153796413823909,0.025363321264457474,Original
239,0.5254237288135594,0.37645951035781544,-9.627032312606932,0.010618294541056795,Original
240,0.3728813559322034,0.307909604519774,-2.524577979762879,0.08583120198777253,Original
241,0.5,0.423728813559322,-2.5287816912705736,0.08551538240691227,Original
242,0.4576271186440678,0.32478813559322034,-11.455677986899559,0.0014276482471677783,Original
243,0.43333333333333335,0.3050847457627119,-5.140537735016466,0.01426366105655198,Original
244,0.43333333333333335,0.3813559322033898,-1.4070831677394464,0.25411009793550343,Original
245,0.4576271186440678,0.32083333333333336,-3.313513183532759,0.045273022622265666,Original
246,0.4406779661016949,0.35056497175141244,-2.7353018723026903,0.07162056517888178,Original
247,0.4576271186440678,0.3629943502824859,-5.564047150200574,0.011454300879796521,Original
248,0.5084745762711864,0.3461158192090395,-16.539568345323744,0.0004810744367490006,Original
249,0.3898305084745763,0.3501412429378531,-2.5736529074083476,0.08223167628896547,Original
250,0.4576271186440678,0.354590395480226,-4.788344485301914,0.01732232163571842,Original
251,0.43333333333333335,0.3728813559322034,-2.9121711386422233,0.061887533056045364,Original
252,0.4745762711864407,0.3759887005649718,-2.087127965330441,0.17214627140969266,Original
253,0.5333333333333333,0.3898305084745763,-5.7519673334545445,0.010439377744934933,Original
254,0.4406779661016949,0.35882768361581924,-4.431514865270233,0.021351308327048055,Original
255,0.45,0.35169491525423735,-2.667077795032928,0.07587912763738508,Original
256,0.4,0.32627118644067793,-2.8103535287436263,0.06727306836232257,Original
257,0.4406779661016949,0.3484934086629002,-4.258091646437124,0.0509728994156799,Original
258,0.4576271186440678,0.3923022598870056,-4.900769721140662,0.01626036695364969,Original
259,0.3898305084745763,0.28700564971751413,-6.458938312987853,0.007528780847255386,Original
260,0.423728813559322,0.3671610169491525,-3.7775875209558483,0.032496904050512185,Original
